"CatchRowID","SampleRowID","EntryOrder","OrganismCode","StandardLength","Dead","Weight","Sex","Count","CatchComments"
"{00213256-90E6-46C1-ACAD-E278EFC72A63}","{F58215EE-F03D-4058-99D8-E58099015759}",-1615954335,"ST",90.00,"n/p",0.00,"n/p",1,
"{0023AB27-59B4-4343-AF60-A58B3E767973}","{42EA12A9-4C50-4F31-AAC0-FC36EA3E327F}",-1428009609,"SB",26.00,"n/p",0.00,"n/p",1,
"{003306A4-85D2-4C50-A37C-5D1932512B80}","{B927CA53-0BF2-48F7-AA60-24D925230596}",-268290874,"TFS",30.00,"n/p",0.00,"n/p",1,
"{00366CCF-30F1-4F2F-B405-4112FB56E631}","{ADE4B748-5121-4700-B421-7B92BB831C92}",-1913129757,"EXOPAL",0.00,"n/p",0.00,"n/p",32,
"{0037B169-EE33-4787-AD94-EAEA6B0DD6FD}","{63095B39-6B9F-43EF-8B14-AF9FCCF4D9E9}",-811056437,"SG",42.00,"n/p",0.00,"n/p",1,
"{00384340-A9EA-476A-86C6-1CB11B5ED70B}","{35E9F2A7-0406-4336-B97F-BFD75A3E9FC7}",1789081297,"ASH",31.00,"n/p",0.00,"n/p",1,
"{0045FCC8-CBC6-4AE6-9175-014DE463E8F3}","{0AFD97CC-A7E1-42AA-B9FE-34DD9B83D674}",-919912765,"YFG",100.00,"n/p",0.00,"n/p",1,
"{0047AC6C-86F6-4E05-AECE-3E91511F9542}","{9E4153CF-D347-4F22-85D6-A65216392C8F}",-368313222,"ST",69.00,"n/p",0.00,"n/p",1,
"{004F9496-0520-4B12-8D8D-1520EFF448B1}","{AE69C5A9-85A1-43BA-B875-E38778D5829F}",-2122762783,"SB",43.00,"n/p",0.00,"n/p",1,
"{00529A4E-FD28-4E78-877E-BD1006B9B27F}","{254FA927-ED36-474F-84F2-14E9848CA9E5}",-165176118,"BC",59.00,"n/p",0.00,"n/p",1,
"{005F8234-8937-4B53-B9CA-A35E9B394A64}","{47BDC46A-B4CA-4C49-9A09-DD44FC56D61B}",1475481008,"ISS",41.00,"n/p",0.00,"n/p",1,
"{006461D5-849A-4837-8BBD-5C31550ABACE}","{AF02E10F-38C6-40B9-BC4F-441579DB65B3}",934739293,"SB",17.00,"n/p",0.00,"n/p",1,
"{0067FB61-6DE2-4740-A3EB-5DA4D20AFF9F}","{467DBCBB-F90E-43EB-87E0-A615999F5750}",112561750,"ASH",24.00,"n/p",0.00,"n/p",1,
"{0068E25B-F46E-4DC5-8FBD-BF70B3CCEB11}","{52E0E7AE-D274-48F2-A5A3-F312C2E22E09}",846812781,"ST",265.00,"n/p",0.00,"n/p",1,
"{006A84F7-B2AC-4E81-B114-42195B7ECEF4}","{E960B87B-16C4-4CF3-AD44-630C4FF98A20}",-335081817,"ISS",37.00,"n/p",0.00,"n/p",1,
"{0074659D-D412-4D4F-BFD0-3038295AD850}","{18DD75F2-3B7B-4BD4-89F9-3CEFFADC3EED}",1612027818,"TFS",34.00,"n/p",0.00,"n/p",1,
"{007B41D5-2633-477C-A6C7-FA146C2DA03F}","{42EA12A9-4C50-4F31-AAC0-FC36EA3E327F}",-1380556380,"ST",28.00,"n/p",0.00,"n/p",1,
"{007FA1EF-3E29-4BD1-ADBC-73C28F8171B0}","{67CE64D6-90F3-4100-9994-6E0039801021}",1642652028,"YFG",58.00,"n/p",0.00,"n/p",1,
"{0084A543-5A1C-4D22-AF1A-2A1CE8546DD2}","{134CE9E5-167F-4EE9-963C-7BA6E14E030F}",1581651841,"SB",26.00,"n/p",0.00,"n/p",1,
"{00853148-815F-4FA2-9A62-69D5811A3957}","{0535EEF7-837F-420D-9A41-E70D004EEE01}",1361757155,"ST",54.00,"n/p",0.00,"n/p",1,
"{008F6C4C-2609-449D-A1D4-427DB928041D}","{679D0D55-C24E-4DC5-B415-4A2E9D9EC448}",1892714944,"TFS",27.00,"n/p",0.00,"n/p",1,
"{00A89CEB-F79C-4036-82AC-129FD512A5EF}","{E17E8EF1-12AC-4CF9-B65D-2B898EA19588}",1592756584,"ISS",49.00,"n/p",0.00,"n/p",1,
"{00A96ABC-7540-402A-98BC-519F04895801}","{2A944636-FB4A-468D-BC0D-3C5ABC106B9D}",1601615471,"EXOPAL",0.00,"n/p",0.00,"n/p",19,
"{00A9705B-B774-4FA2-BCB0-F725D809B23F}","{02CD6525-A604-490B-91FB-BDFB017844B0}",1461383784,"BLP",72.00,"n/p",0.00,"n/p",1,
"{00AE9B06-D9BE-43D8-B01B-A015A21E1BEE}","{C132E173-F0A0-4E98-8CB6-C7E964837114}",1701407427,"UKNLARV",14.00,"n/p",0.00,"n/p",1,
"{00B1D568-C140-461F-BC90-A8C82403E99C}","{0004B2C5-3E38-4035-9F25-EF30C031AD11}",1999267457,"ST",129.00,"n/p",0.00,"n/p",1,
"{00B2EF9B-AB47-4ECE-98D2-8AC7E44CDEC1}","{76117F59-6704-4FE0-818D-3F1B9E060B73}",401916197,"SCP",22.00,"n/p",0.00,"n/p",1,
"{00C178A7-4D78-4639-AB59-D60504AFD8F0}","{1D1C37DB-8FDA-49BB-BF73-9E70953401C5}",-1644572158,"ISS",62.00,"n/p",0.00,"n/p",1,
"{00CCC6A7-D953-47E9-9C6C-624EB37B7D66}","{35E9F2A7-0406-4336-B97F-BFD75A3E9FC7}",1650660789,"ISS",41.00,"n/p",0.00,"n/p",1,
"{00D0C28A-5811-4288-97A1-840FDB949443}","{E32018A8-4046-48C1-933E-00A57CC03917}",661091662,"SB",58.00,"n/p",0.00,"n/p",1,
